Serial No.,Item,Unit,2002-03,2003-04,2004 -05,2005 -06,2006 -07
1,Route open for traffic at the end of year(All gauges):,(km.),63122,63221,63465,63332,63327
2,Broad gauge,(km.),45622,46807,47749,48574,49820
3,Metre gauge,(km.),14364,13290,12662,11834,10621
4,Narrow gauge,(km.),3136,3124,3054,2924,2886
5,Capital-at-Charge at the end of year :,(Rs. in Crore),44302,49616,55109,60426,66611
6,Gross earnings,(Rs. in Crore),41148,42842,47038,54404,62371
7,Working expenses(excluding suspense),(Rs. in Crore),37997,39471,42796,45546,49022
8,Net earnings,(Rs. in Crore),3151,3371,4242,8858,13349
9,Percentage of working expenses of gross earnings,%,92.34,92.1,90.98,83.72,78.68
10,Percentage of net earnings to total Capital-at-Charge (1),%,7.74,6.79,8.66,16.69,22.96
11,No. of passengers originating :,('000),4970803,5112361,5377937,5724516,6218881
12,A.C. 1st class(inclu.Executive class),('000),1070,1081,1075,1142,1329
13,A.C. Sleeper,('000),12133,12052,11353,11435,13301
14,A.C.-3 Tier,('000),15835,19266,17362,21140,26506
15,1st Class Mail/Express,('000),1322,1373,1253,1458,1150
16,Ist Class Ordinary,('000),174370,177256,187211,200739,214847
17,A.C.Chair Car,('000),7689,8609,8928,9351,11142
18,Sleeper class Mail/Express-,('000),153600,154940,160969,177180,208374
19,Sleeper Class Ordinary,('000),3736,5772,4288,5779,6203
20,2nd Class Mail/Express,('000),356359,411131,444313,485632,499560
21,2nd Class Ordinary,('000),4244689,4320881,4541186,4810660,5236469
22,Passenger kilometres,('Ten Lakhs km.),51504,54121,57570,61561,69476
23,Average rate charged per passenger per kilometre:A.C First Class,(paise),242.7,247.2,253.6,252.7,246.9
24,II A.C. Sleeper,(paise),110.5,116.3,128.1,133,124.9
25,A.C.-3 Tier,(paise),77.6,72.9,88.6,91.5,91.5
26,1st Class Mail/Express,(paise),86.7,88.5,74.6,91.9,92.7
27,Ordinary,(paise),29,28.2,28.4,28,28.2
28,A.C.Chair Car,(paise),76.8,73.3,74.9,75.9,75.8
29,Sleeper class Mail/ Express,(paise),28.8,30.3,30.7,31.3,31.8
30,Ordinary,(paise),19.2,15.4,22.8,23.4,23.3
31,2nd Class Mail/Express,(paise),23.5,24.4,23.9,24.6,23.7
32,Ordinary,(paise),13.5,12.8,14.9,14.1,14.1
33,Total goods carried (2),('000 tonne),542690,581390,626178,682779,744559
34,Net tonnes kilometres(2),('Ten Lakhs km.),35603,38407,41128,44176,48342
35,Average rate charged per tonne kilometres,(paise),74.3,71.9,74.8,80.8,85.4
36,Railway staff employed as on 31st Marchr:,(No.),1475884,1445420,1428243,1416121,1410168
37,Open line,(No.),1444182,1410678,1396646,1383832,1378758
38,Group A & B,(No.),11817,12428,13221,13326,13839
39,Group C & D,(No.),1432365,1398250,1383425,1370506,1364919
40,Construction :,(No.),31702,34742,31597,32289,31410
41,Group A & B,(No.),1978,2005,1867,2209,2062
42,Group C & D,(No.),29724,32737,29730,30080,29348
43,Number of persons killed on the railways (3):,(No.),1837,2963,2226,3732,4195
44,Passengers,(No.),251,138,118,346,204
45,Railway servants,(No.),143,77,85,121,109
46,Others (4),(No.),1443,2748,2023,3265,3882
47,Rolling stock-locomotives: Steam,(No.),52,45,44,44,43
48,Diesel,(No.),4699,4769,4807,4793,4816
49,Electric,(No.),2930,3004,3065,3188,3294
50,Coaching Stock; (i) Passenger carriages,(No.),34871,35654,37087,38156,38855
51,(ii)EMU/DMU/DHMU,(No.),4957,5278,5388,5894,6454
52,(iii)Rail cars (internal combustion engine propelled),(No.),24,37,38,43,41
53,(iv) Other Coaching  Vehicles,(No.),4904,5519,5600,5612,5905
54,Goods wagons,(No.),214760,227752,222409,207983,207723
55,(i) Covered wagons(BG),(No.),60196,60636,58508,55457,55033
56,(ii) Open wagons(BG),(No.),96247,107521,109439,102020,105833
57,(iii) Other wagons(BG),(No.),44354,47001,44447,41099,39080
58,Train Kilometres;Passenger trains: Steam,(`000),59,51,60,61,54
59,Diesel,(`000),257303,259064,259776,265931,270330
60,Electric,(`000),159285,163974,173771,180561,191364
62,Diesel,(`000),116213,112416,113756,116779,119577
63,Electric,(`000),160364,158774,170859,176155,186185
64,Total (Including departmental): Steam,(`000),63,58,66,67,62
65,Diesel,(`000),379893,378185,381299,388501,395422
